Level,Risk_factor,measure,year_gbd,anal_year,val,lower,upper,Group,Overarching_group
,Diet low in calcium,DALYs,2010,2010,2590000.0,1873000.0,3322000.0,Dietary risks,Behavioural risks
,Diet low in seafood omega-3 fatty acids,DALYs,2010,2010,28199000.0,20624000.0,35974000.0,Dietary risks,Behavioural risks
,Diet low in polyunsaturated fatty acids,DALYs,2010,2010,11680000.0,5360000.0,17798000.0,Dietary risks,Behavioural risks
,Diet high in trans fatty acids,DALYs,2010,2010,11592000.0,8395000.0,14623000.0,Dietary risks,Behavioural risks
,Diet high in sodium,DALYs,2010,2010,61231000.0,40124000.0,80342000.0,Dietary risks,Behavioural risks
,Low physical activity,DALYs,2010,2010,69318000.0,58646000.0,80182000.0,Low physical activity,Behavioural risks
,Occupational risks,DALYs,2010,2010,62488000.0,49471000.0,76240000.0,Occupational risks,Environmental/occupational risks
,Occupational carcinogens,DALYs,2010,2010,2681000.0,1773000.0,3689000.0,Occupational risks,Environmental/occupational risks
,Occupational asthmagens,DALYs,2010,2010,2020000.0,1441000.0,2871000.0,Occupational risks,Environmental/occupational risks
,"Occupational particulate matter, gases, and fumes",DALYs,2010,2010,9142000.0,4377000.0,14250000.0,Occupational risks,Environmental/occupational risks
,Occupational noise,DALYs,2010,2010,3451000.0,2072000.0,5574000.0,Occupational risks,Environmental/occupational risks
,Occupational injuries,DALYs,2010,2010,23444000.0,17736000.0,30904000.0,Occupational risks,Environmental/occupational risks
,Intimate partner violence,DALYs,2010,2010,16794000.0,11373000.0,23087000.0,Intimate partner violence,Behavioural risks
,All risk factors,Deaths,2013,1990,25085000.0,24385000.0,25821000.0,Other,All risk factors
,Environmental/occupational risks,Deaths,2013,1990,8492000.0,8036000.0,8953000.0,Other,Environmental/occupational risks
,"Unsafe water, sanitation, and handwashing",Deaths,2013,1990,2727000.0,2530000.0,2952000.0,"Unsafe water, sanitation, and handwashing",Environmental/occupational risks
,Unsafe water source,Deaths,2013,1990,2434000.0,1971000.0,2763000.0,"Unsafe water, sanitation, and handwashing",Environmental/occupational risks
,Unsafe sanitation,Deaths,2013,1990,1785000.0,1613000.0,1959000.0,"Unsafe water, sanitation, and handwashing",Environmental/occupational risks
,No access to handwashing facility,Deaths,2013,1990,1010000.0,798000.0,1204000.0,"Unsafe water, sanitation, and handwashing",Environmental/occupational risks
,Air pollution,Deaths,2013,1990,4808000.0,4459000.0,5157000.0,Air pollution,Environmental/occupational risks
,Ambient particulate matter pollution,Deaths,2013,1990,2238000.0,2154000.0,2317000.0,Air pollution,Environmental/occupational risks
,Household air pollution from solid fuels,Deaths,2013,1990,2857000.0,2482000.0,3216000.0,Air pollution,Environmental/occupational risks
,Ambient ozone pollution,Deaths,2013,1990,133000.0,105000.0,162000.0,Air pollution,Environmental/occupational risks
,Other environmental risks,Deaths,2013,1990,731000.0,523000.0,965000.0,Other environmental risks,Environmental/occupational risks
,Residential radon,Deaths,2013,1990,63000.0,41000.0,86000.0,Other environmental risks,Environmental/occupational risks
,Lead exposure,Deaths,2013,1990,668000.0,465000.0,899000.0,Other environmental risks,Environmental/occupational risks
,Occupational risks,Deaths,2013,1990,562000.0,509000.0,629000.0,Occupational risks,Environmental/occupational risks
,Occupational carcinogens,Deaths,2013,1990,152000.0,135000.0,174000.0,Occupational risks,Environmental/occupational risks
,Occupational asthmagens,Deaths,2013,1990,63000.0,48000.0,93000.0,Occupational risks,Environmental/occupational risks
,"Occupational particulate matter, gases, and fumes",Deaths,2013,1990,197000.0,161000.0,236000.0,Occupational risks,Environmental/occupational risks
,Occupational injuries,Deaths,2013,1990,151000.0,122000.0,197000.0,Occupational risks,Environmental/occupational risks
,Behavioural risks,Deaths,2013,1990,18453000.0,17419000.0,19480000.0,Other,Behavioural risks
,Child and maternal malnutrition,Deaths,2013,1990,4254000.0,3937000.0,4555000.0,Child and maternal malnutrition,Behavioural risks
,Childhood undernutrition,Deaths,2013,1990,3635000.0,3341000.0,3888000.0,Child and maternal malnutrition,Behavioural risks
,Suboptimal breastfeeding,Deaths,2013,1990,1344000.0,904000.0,1834000.0,Child and maternal malnutrition,Behavioural risks
,Iron deficiency,Deaths,2013,1990,241000.0,169000.0,344000.0,Child and maternal malnutrition,Behavioural risks
,Vitamin A deficiency,Deaths,2013,1990,377000.0,247000.0,522000.0,Child and maternal malnutrition,Behavioural risks
,Zinc deficiency,Deaths,2013,1990,221000.0,15000.0,491000.0,Child and maternal malnutrition,Behavioural risks
,Tobacco,Deaths,2013,1990,5229000.0,4816000.0,5681000.0,Tobacco,Behavioural risks
,Smoking,Deaths,2013,1990,4634000.0,4222000.0,5079000.0,Tobacco,Behavioural risks
,Second-hand smoke,Deaths,2013,1990,595000.0,540000.0,654000.0,Tobacco,Behavioural risks
,High alcohol use,Deaths,2013,1990,1977000.0,1555000.0,2329000.0,High alcohol use,Behavioural risks
,Drug use,Deaths,2013,1990,132000.0,109000.0,155000.0,Drug use,Behavioural risks
,Dietary risks,Deaths,2013,1990,8068000.0,6991000.0,9159000.0,Dietary risks,Behavioural risks
,Diet low in fruits,Deaths,2013,1990,2540000.0,1686000.0,3367000.0,Dietary risks,Behavioural risks
,Diet low in vegetables,Deaths,2013,1990,1381000.0,1094000.0,1684000.0,Dietary risks,Behavioural risks
,Diet low in whole grains,Deaths,2013,1990,1396000.0,1066000.0,1728000.0,Dietary risks,Behavioural risks
,Diet low in nuts and seeds,Deaths,2013,1990,1012000.0,725000.0,1304000.0,Dietary risks,Behavioural risks
