,Level,Risk_factor,measure,year_gbd,anal_year,val,lower,upper,Rank
1066,,"Diet low in 
polyunsaturated fatty acids",DALYs,2021,2021,17869860.5395481,-56003352.1985371,65962498.5239818,5.0
1075,,Diet low in calcium,DALYs,2021,2021,2031477.99867649,1558142.83386293,2498107.98164951,16.0
1096,,Diet low in vegetables,DALYs,2021,2021,20655690.6324031,12448914.0161153,28673801.9395984,4.0
1097,,Diet high in red meat,DALYs,2021,2021,9633539.10667224,-4908.53200528372,13030228.3851559,11.0
1098,,Diet low in seafood omega-3 fatty acids,DALYs,2021,2021,15511021.3514307,3098824.39583993,25946111.2991226,9.0
1099,,Low physical activity,DALYs,2021,2021,15704960.4328681,7334697.50741822,24379666.2799438,8.0
1187,,Diet low in nuts and seeds,DALYs,2023,2023,22483622.9068292,6713797.14746687,37885424.9809135,5.0
1191,,Diet high in trans fatty acids,DALYs,2023,2023,10281401.3954711,571657.457169527,19987935.629415,11.0
1192,,Diet low in vegetables,DALYs,2023,2023,23408358.6826458,12811714.1430707,36034274.7477097,4.0
1193,,Diet low in whole grains,DALYs,2023,2023,31744892.7544248,13561595.630198,50143145.6172216,3.0
1195,,Diet low in fruits,DALYs,2023,2023,47910446.6441702,17969561.413229,75858037.9464035,1.0
1197,,Diet high in red meat,DALYs,2023,2023,10935463.5201896,9.64797774e-08,16392597.6246065,10.0
1198,,Diet high in processed meat,DALYs,2023,2023,9887538.70167492,5003262.36385823,15430280.9016015,12.0
1199,,Diet low in milk,DALYs,2023,2023,3778716.99507588,1292725.18597701,6066595.14601564,13.0
1200,,Diet low in seafood omega-3 fatty acids,DALYs,2023,2023,13098055.8137201,3397721.31578389,25603462.6087529,8.0
1201,,Diet low in fiber,DALYs,2023,2023,12430861.6535851,3169145.3467866,26778063.4315173,9.0
1203,,Diet low in calcium,DALYs,2023,2023,1970743.00271453,1449123.25529546,2527027.73550931,14.0
1204,,Low physical activity,DALYs,2023,2023,16441325.8911839,7207532.58339353,25151243.0880533,6.0
1205,,Diet high in sodium,DALYs,2023,2023,38390135.4872817,6808180.00276484,91725772.4871875,2.0
1219,,Diet low in legumes,DALYs,2023,2023,14326607.3167397,-12304191.0257444,37349051.6757239,7.0
